scenario,phase,frame,spot,goal,elapsed_min,step1,step2,arrive_min,crowd_lo,crowd_hi,changing_goal
Two destination changes,1,34,Paulownia Studio,Garden Tea Lodge,6.28,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Two destination changes,1,34,Paulownia Studio,Garden Tea Lodge,6.28,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Two destination changes,1,35,Paulownia Studio,Garden Tea Lodge,6.56,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Two destination changes,1,35,Paulownia Studio,Garden Tea Lodge,6.56,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Two destination changes,1,35,Paulownia Studio,Garden Tea Lodge,6.56,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Two destination changes,1,35,Paulownia Studio,Garden Tea Lodge,6.56,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Two destination changes,1,36,Paulownia Studio,Garden Tea Lodge,6.83,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Two destination changes,1,36,Paulownia Studio,Garden Tea Lodge,6.83,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Two destination changes,1,36,Paulownia Studio,Garden Tea Lodge,6.83,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Two destination changes,1,36,Paulownia Studio,Garden Tea Lodge,6.83,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Two destination changes,1,37,Paulownia Studio,Garden Tea Lodge,7.11,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Two destination changes,1,37,Paulownia Studio,Garden Tea Lodge,7.11,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Two destination changes,1,37,Paulownia Studio,Garden Tea Lodge,7.11,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Two destination changes,1,37,Paulownia Studio,Garden Tea Lodge,7.11,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Two destination changes,1,38,Paulownia Studio,Garden Tea Lodge,7.39,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Two destination changes,1,38,Paulownia Studio,Garden Tea Lodge,7.39,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Two destination changes,1,38,Paulownia Studio,Garden Tea Lodge,7.39,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Two destination changes,1,38,Paulownia Studio,Garden Tea Lodge,7.39,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Two destination changes,1,39,Paulownia Studio,Garden Tea Lodge,7.67,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Two destination changes,1,39,Paulownia Studio,Garden Tea Lodge,7.67,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Two destination changes,1,39,Paulownia Studio,Garden Tea Lodge,7.67,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Two destination changes,1,39,Paulownia Studio,Garden Tea Lodge,7.67,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Two destination changes,1,40,Paulownia Studio,Garden Tea Lodge,7.94,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Two destination changes,1,40,Paulownia Studio,Garden Tea Lodge,7.94,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Two destination changes,1,40,Paulownia Studio,Garden Tea Lodge,7.94,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Two destination changes,1,40,Paulownia Studio,Garden Tea Lodge,7.94,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Two destination changes,1,41,Paulownia Studio,Garden Tea Lodge,8.22,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Two destination changes,1,41,Paulownia Studio,Garden Tea Lodge,8.22,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Two destination changes,1,41,Paulownia Studio,Garden Tea Lodge,8.22,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Two destination changes,1,41,Paulownia Studio,Garden Tea Lodge,8.22,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Two destination changes,1,42,Paulownia Studio,Garden Tea Lodge,8.5,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Two destination changes,1,42,Paulownia Studio,Garden Tea Lodge,8.5,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Two destination changes,1,42,Paulownia Studio,Garden Tea Lodge,8.5,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Two destination changes,1,42,Paulownia Studio,Garden Tea Lodge,8.5,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Two destination changes,1,43,Paulownia Studio,Garden Tea Lodge,8.78,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Two destination changes,1,43,Paulownia Studio,Garden Tea Lodge,8.78,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Two destination changes,1,43,Paulownia Studio,Garden Tea Lodge,8.78,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Two destination changes,1,43,Paulownia Studio,Garden Tea Lodge,8.78,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Two destination changes,1,44,Paulownia Studio,Garden Tea Lodge,9.06,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Two destination changes,1,44,Paulownia Studio,Garden Tea Lodge,9.06,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Two destination changes,1,44,Paulownia Studio,Garden Tea Lodge,9.06,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Two destination changes,1,44,Paulownia Studio,Garden Tea Lodge,9.06,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Two destination changes,1,45,Paulownia Studio,Garden Tea Lodge,9.33,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Two destination changes,1,45,Paulownia Studio,Garden Tea Lodge,9.33,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Two destination changes,1,45,Paulownia Studio,Garden Tea Lodge,9.33,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Two destination changes,1,45,Paulownia Studio,Garden Tea Lodge,9.33,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Two destination changes,1,46,Paulownia Studio,Garden Tea Lodge,9.61,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Two destination changes,1,46,Paulownia Studio,Garden Tea Lodge,9.61,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Two destination changes,1,46,Paulownia Studio,Garden Tea Lodge,9.61,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Two destination changes,1,46,Paulownia Studio,Garden Tea Lodge,9.61,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Two destination changes,1,47,Paulownia Studio,Garden Tea Lodge,9.89,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Two destination changes,1,47,Paulownia Studio,Garden Tea Lodge,9.89,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Two destination changes,1,47,Paulownia Studio,Garden Tea Lodge,9.89,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Two destination changes,1,47,Paulownia Studio,Garden Tea Lodge,9.89,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Two destination changes,1,48,Paulownia Studio,Garden Tea Lodge,10.17,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Two destination changes,1,48,Paulownia Studio,Garden Tea Lodge,10.17,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Two destination changes,1,48,Paulownia Studio,Garden Tea Lodge,10.17,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Two destination changes,1,48,Paulownia Studio,Garden Tea Lodge,10.17,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Two destination changes,1,49,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Two destination changes,1,49,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Two destination changes,1,49,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Two destination changes,1,49,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Two destination changes,1,50,Paulownia Studio,Garden Tea Lodge,10.72,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Two destination changes,1,50,Paulownia Studio,Garden Tea Lodge,10.72,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Two destination changes,1,50,Paulownia Studio,Garden Tea Lodge,10.72,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Two destination changes,1,50,Paulownia Studio,Garden Tea Lodge,10.72,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Two destination changes,1,65,South Snow Pavilion,Garden Tea Lodge,14.0,Moon-Hoe Studio,Golden Chestnut Studio,8,15.21,22.2,0
Two destination changes,1,65,South Snow Pavilion,Garden Tea Lodge,14.0,Phoenix Paulownia,Moon-Hoe Studio,8,16.94,24.37,0
Two destination changes,1,65,South Snow Pavilion,Garden Tea Lodge,14.0,Phoenix Paulownia,Golden Chestnut Studio,8,16.94,24.37,0
Two destination changes,1,65,South Snow Pavilion,Garden Tea Lodge,14.0,Phoenix Paulownia,Stone Qin Room,8,16.94,24.37,0
Two destination changes,1,66,South Snow Pavilion,Garden Tea Lodge,14.29,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Two destination changes,1,66,South Snow Pavilion,Garden Tea Lodge,14.29,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Two destination changes,1,66,South Snow Pavilion,Garden Tea Lodge,14.29,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Two destination changes,1,66,South Snow Pavilion,Garden Tea Lodge,14.29,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Two destination changes,1,67,South Snow Pavilion,Garden Tea Lodge,14.57,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Two destination changes,1,67,South Snow Pavilion,Garden Tea Lodge,14.57,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Two destination changes,1,67,South Snow Pavilion,Garden Tea Lodge,14.57,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Two destination changes,1,67,South Snow Pavilion,Garden Tea Lodge,14.57,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Two destination changes,1,68,South Snow Pavilion,Garden Tea Lodge,14.86,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Two destination changes,1,68,South Snow Pavilion,Garden Tea Lodge,14.86,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Two destination changes,1,68,South Snow Pavilion,Garden Tea Lodge,14.86,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Two destination changes,1,68,South Snow Pavilion,Garden Tea Lodge,14.86,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Two destination changes,1,69,South Snow Pavilion,Garden Tea Lodge,15.14,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Two destination changes,1,69,South Snow Pavilion,Garden Tea Lodge,15.14,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Two destination changes,1,69,South Snow Pavilion,Garden Tea Lodge,15.14,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Two destination changes,1,69,South Snow Pavilion,Garden Tea Lodge,15.14,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Two destination changes,1,70,South Snow Pavilion,Garden Tea Lodge,15.43,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Two destination changes,1,70,South Snow Pavilion,Garden Tea Lodge,15.43,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Two destination changes,1,70,South Snow Pavilion,Garden Tea Lodge,15.43,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Two destination changes,1,70,South Snow Pavilion,Garden Tea Lodge,15.43,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Two destination changes,1,71,South Snow Pavilion,Garden Tea Lodge,15.71,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Two destination changes,1,71,South Snow Pavilion,Garden Tea Lodge,15.71,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Two destination changes,1,71,South Snow Pavilion,Garden Tea Lodge,15.71,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Two destination changes,1,71,South Snow Pavilion,Garden Tea Lodge,15.71,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Two destination changes,1,72,South Snow Pavilion,Garden Tea Lodge,16.0,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Two destination changes,1,72,South Snow Pavilion,Garden Tea Lodge,16.0,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Two destination changes,1,72,South Snow Pavilion,Garden Tea Lodge,16.0,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Two destination changes,1,72,South Snow Pavilion,Garden Tea Lodge,16.0,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Two destination changes,1,73,South Snow Pavilion,Garden Tea Lodge,16.29,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Two destination changes,1,73,South Snow Pavilion,Garden Tea Lodge,16.29,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Two destination changes,1,73,South Snow Pavilion,Garden Tea Lodge,16.29,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Two destination changes,1,73,South Snow Pavilion,Garden Tea Lodge,16.29,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Two destination changes,1,74,South Snow Pavilion,Garden Tea Lodge,16.57,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Two destination changes,1,74,South Snow Pavilion,Garden Tea Lodge,16.57,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Two destination changes,1,74,South Snow Pavilion,Garden Tea Lodge,16.57,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Two destination changes,1,74,South Snow Pavilion,Garden Tea Lodge,16.57,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Two destination changes,1,75,South Snow Pavilion,Garden Tea Lodge,16.86,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Two destination changes,1,75,South Snow Pavilion,Garden Tea Lodge,16.86,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Two destination changes,1,75,South Snow Pavilion,Garden Tea Lodge,16.86,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Two destination changes,1,75,South Snow Pavilion,Garden Tea Lodge,16.86,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Two destination changes,1,76,South Snow Pavilion,Garden Tea Lodge,17.14,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Two destination changes,1,76,South Snow Pavilion,Garden Tea Lodge,17.14,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Two destination changes,1,76,South Snow Pavilion,Garden Tea Lodge,17.14,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
Two destination changes,1,76,South Snow Pavilion,Garden Tea Lodge,17.14,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,0
Two destination changes,1,77,South Snow Pavilion,Garden Tea Lodge,17.43,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Two destination changes,1,77,South Snow Pavilion,Garden Tea Lodge,17.43,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Two destination changes,1,77,South Snow Pavilion,Garden Tea Lodge,17.43,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
Two destination changes,1,77,South Snow Pavilion,Garden Tea Lodge,17.43,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,0
Two destination changes,1,78,South Snow Pavilion,Garden Tea Lodge,17.71,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Two destination changes,1,78,South Snow Pavilion,Garden Tea Lodge,17.71,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Two destination changes,1,78,South Snow Pavilion,Garden Tea Lodge,17.71,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
Two destination changes,1,78,South Snow Pavilion,Garden Tea Lodge,17.71,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,0
Two destination changes,1,79,South Snow Pavilion,Garden Tea Lodge,18.0,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Two destination changes,1,79,South Snow Pavilion,Garden Tea Lodge,18.0,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Two destination changes,1,79,South Snow Pavilion,Garden Tea Lodge,18.0,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
Two destination changes,1,79,South Snow Pavilion,Garden Tea Lodge,18.0,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,0
Two destination changes,1,80,South Snow Pavilion,Garden Tea Lodge,18.29,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,0
Two destination changes,1,80,South Snow Pavilion,Garden Tea Lodge,18.29,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,0
Two destination changes,1,80,South Snow Pavilion,Garden Tea Lodge,18.29,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,0
Two destination changes,1,80,South Snow Pavilion,Garden Tea Lodge,18.29,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,0
Two destination changes,1,81,South Snow Pavilion,Garden Tea Lodge,18.57,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,0
Two destination changes,1,81,South Snow Pavilion,Garden Tea Lodge,18.57,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,0
Two destination changes,1,81,South Snow Pavilion,Garden Tea Lodge,18.57,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,0
Two destination changes,1,81,South Snow Pavilion,Garden Tea Lodge,18.57,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,0
Two destination changes,1,82,South Snow Pavilion,Garden Tea Lodge,18.86,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,0
Two destination changes,1,82,South Snow Pavilion,Garden Tea Lodge,18.86,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,0
Two destination changes,1,82,South Snow Pavilion,Garden Tea Lodge,18.86,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,0
Two destination changes,1,82,South Snow Pavilion,Garden Tea Lodge,18.86,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,0
Two destination changes,1,83,South Snow Pavilion,Garden Tea Lodge,19.14,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,0
Two destination changes,1,83,South Snow Pavilion,Garden Tea Lodge,19.14,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,0
Two destination changes,1,83,South Snow Pavilion,Garden Tea Lodge,19.14,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,0
Two destination changes,1,83,South Snow Pavilion,Garden Tea Lodge,19.14,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,0
Two destination changes,1,84,South Snow Pavilion,Garden Tea Lodge,19.43,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,0
Two destination changes,1,84,South Snow Pavilion,Garden Tea Lodge,19.43,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,0
Two destination changes,1,84,South Snow Pavilion,Garden Tea Lodge,19.43,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,0
Two destination changes,1,84,South Snow Pavilion,Garden Tea Lodge,19.43,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,0
Two destination changes,1,85,South Snow Pavilion,Garden Tea Lodge,19.71,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,0
Two destination changes,1,85,South Snow Pavilion,Garden Tea Lodge,19.71,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,0
Two destination changes,1,85,South Snow Pavilion,Garden Tea Lodge,19.71,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,0
Two destination changes,1,85,South Snow Pavilion,Garden Tea Lodge,19.71,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,0
Two destination changes,1,122,Moon-Hoe Studio,Garden Tea Lodge,28.0,Winter Herb Hut,Lotus Depths,12,15.82,22.96,0
Two destination changes,1,122,Moon-Hoe Studio,Garden Tea Lodge,28.0,Phoenix Paulownia,Stone Qin Room,6,17.52,25.1,0
Two destination changes,1,122,Moon-Hoe Studio,Garden Tea Lodge,28.0,Phoenix Paulownia,Golden Chestnut Studio,6,17.52,25.1,0
Two destination changes,1,122,Moon-Hoe Studio,Garden Tea Lodge,28.0,Phoenix Paulownia,Wall-Facing Pavilion,6,17.52,25.1,0
Two destination changes,1,123,Moon-Hoe Studio,Garden Tea Lodge,28.22,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0
Two destination changes,1,123,Moon-Hoe Studio,Garden Tea Lodge,28.22,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0
Two destination changes,1,123,Moon-Hoe Studio,Garden Tea Lodge,28.22,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0
Two destination changes,1,123,Moon-Hoe Studio,Garden Tea Lodge,28.22,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0
Two destination changes,1,124,Moon-Hoe Studio,Garden Tea Lodge,28.44,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0
Two destination changes,1,124,Moon-Hoe Studio,Garden Tea Lodge,28.44,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0
Two destination changes,1,124,Moon-Hoe Studio,Garden Tea Lodge,28.44,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0
Two destination changes,1,124,Moon-Hoe Studio,Garden Tea Lodge,28.44,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0
Two destination changes,1,125,Moon-Hoe Studio,Garden Tea Lodge,28.67,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0
Two destination changes,1,125,Moon-Hoe Studio,Garden Tea Lodge,28.67,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0
Two destination changes,1,125,Moon-Hoe Studio,Garden Tea Lodge,28.67,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0
Two destination changes,1,125,Moon-Hoe Studio,Garden Tea Lodge,28.67,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0
Two destination changes,1,126,Moon-Hoe Studio,Garden Tea Lodge,28.89,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0
Two destination changes,1,126,Moon-Hoe Studio,Garden Tea Lodge,28.89,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0
Two destination changes,1,126,Moon-Hoe Studio,Garden Tea Lodge,28.89,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0
Two destination changes,1,126,Moon-Hoe Studio,Garden Tea Lodge,28.89,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0
Two destination changes,1,127,Moon-Hoe Studio,Garden Tea Lodge,29.11,Golden Chestnut Studio,Stone Qin Room,6,18.49,26.31,0
Two destination changes,1,127,Moon-Hoe Studio,Garden Tea Lodge,29.11,Golden Chestnut Studio,Little Canglang Lodge,6,18.49,26.31,0
Two destination changes,1,127,Moon-Hoe Studio,Garden Tea Lodge,29.11,Winter Herb Hut,Lotus Depths,12,7.8,12.93,0
Two destination changes,1,127,Moon-Hoe Studio,Garden Tea Lodge,29.11,Phoenix Paulownia,Stone Qin Room,6,16.05,23.25,0
Two destination changes,1,128,Moon-Hoe Studio,Garden Tea Lodge,29.33,Golden Chestnut Studio,Stone Qin Room,6,18.49,26.31,0
Two destination changes,1,128,Moon-Hoe Studio,Garden Tea Lodge,29.33,Golden Chestnut Studio,Little Canglang Lodge,6,18.49,26.31,0
Two destination changes,1,128,Moon-Hoe Studio,Garden Tea Lodge,29.33,Winter Herb Hut,Lotus Depths,12,7.8,12.93,0
