frame,spot_id,spot,elapsed_min,step1,step2,arrive_min,crowd_lo,crowd_hi,path_Q,JR
82,10,South Snow Pavilion,14.69,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,1.4436,0.197682
82,10,South Snow Pavilion,14.69,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,1.1895,0.203406
82,10,South Snow Pavilion,14.69,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,1.3094,0.214845
83,10,South Snow Pavilion,14.92,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,1.4632,0.152007
83,10,South Snow Pavilion,14.92,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,1.4436,0.197682
83,10,South Snow Pavilion,14.92,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,1.1895,0.203406
83,10,South Snow Pavilion,14.92,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,1.3094,0.214845
84,10,South Snow Pavilion,15.15,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,1.4632,0.152007
84,10,South Snow Pavilion,15.15,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,1.4436,0.204159
84,10,South Snow Pavilion,15.15,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,1.1895,0.206061
84,10,South Snow Pavilion,15.15,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,1.3094,0.213079
85,10,South Snow Pavilion,15.38,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,1.4632,0.152007
85,10,South Snow Pavilion,15.38,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,1.4436,0.204159
85,10,South Snow Pavilion,15.38,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,1.1895,0.206061
85,10,South Snow Pavilion,15.38,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,1.3094,0.213079
86,10,South Snow Pavilion,15.62,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,1.4632,0.152007
86,10,South Snow Pavilion,15.62,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,1.4436,0.204159
86,10,South Snow Pavilion,15.62,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,1.1895,0.206061
86,10,South Snow Pavilion,15.62,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,1.3094,0.213079
87,10,South Snow Pavilion,15.85,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,1.4632,0.152007
87,10,South Snow Pavilion,15.85,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,1.4436,0.204159
87,10,South Snow Pavilion,15.85,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,1.1895,0.206061
87,10,South Snow Pavilion,15.85,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,1.3094,0.213079
88,10,South Snow Pavilion,16.08,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,1.4632,0.152007
88,10,South Snow Pavilion,16.08,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,1.4436,0.208701
88,10,South Snow Pavilion,16.08,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,1.1895,0.215161
88,10,South Snow Pavilion,16.08,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,1.3094,0.228793
89,10,South Snow Pavilion,16.31,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,1.4632,0.152007
89,10,South Snow Pavilion,16.31,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,1.4436,0.208701
89,10,South Snow Pavilion,16.31,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,1.1895,0.215161
89,10,South Snow Pavilion,16.31,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,1.3094,0.228793
90,10,South Snow Pavilion,16.54,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,1.4632,0.152007
90,10,South Snow Pavilion,16.54,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,1.4436,0.208701
90,10,South Snow Pavilion,16.54,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,1.1895,0.215161
90,10,South Snow Pavilion,16.54,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,1.3094,0.228793
91,10,South Snow Pavilion,16.77,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,1.4632,0.152007
91,10,South Snow Pavilion,16.77,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,1.4436,0.208701
91,10,South Snow Pavilion,16.77,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,1.1895,0.215161
91,10,South Snow Pavilion,16.77,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,1.3094,0.228793
92,10,South Snow Pavilion,17.0,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,1.4632,0.152007
92,10,South Snow Pavilion,17.0,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,1.4436,0.208701
92,10,South Snow Pavilion,17.0,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,1.1895,0.215161
92,10,South Snow Pavilion,17.0,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,1.3094,0.228793
93,10,South Snow Pavilion,17.23,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,1.4632,0.153177
93,10,South Snow Pavilion,17.23,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,1.4436,0.219
93,10,South Snow Pavilion,17.23,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,1.1895,0.22566
93,10,South Snow Pavilion,17.23,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,1.2683,0.237016
94,10,South Snow Pavilion,17.46,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,1.4632,0.153177
94,10,South Snow Pavilion,17.46,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,1.4436,0.219
94,10,South Snow Pavilion,17.46,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,1.1895,0.22566
94,10,South Snow Pavilion,17.46,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,1.2683,0.237016
95,10,South Snow Pavilion,17.69,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,1.4632,0.153177
95,10,South Snow Pavilion,17.69,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,1.4436,0.219
95,10,South Snow Pavilion,17.69,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,1.1895,0.22566
95,10,South Snow Pavilion,17.69,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,1.2683,0.237016
96,10,South Snow Pavilion,17.92,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,1.4632,0.153177
96,10,South Snow Pavilion,17.92,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,1.4436,0.219
96,10,South Snow Pavilion,17.92,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,1.1895,0.22566
96,10,South Snow Pavilion,17.92,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,1.2683,0.237016
97,10,South Snow Pavilion,18.15,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,1.4632,0.156001
97,10,South Snow Pavilion,18.15,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,1.1895,0.217756
97,10,South Snow Pavilion,18.15,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,1.4436,0.218413
97,10,South Snow Pavilion,18.15,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,1.2683,0.231613
98,10,South Snow Pavilion,18.38,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,1.4632,0.156001
98,10,South Snow Pavilion,18.38,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,1.1895,0.217756
98,10,South Snow Pavilion,18.38,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,1.4436,0.218413
98,10,South Snow Pavilion,18.38,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,1.2683,0.231613
99,10,South Snow Pavilion,18.62,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,1.4632,0.156001
99,10,South Snow Pavilion,18.62,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,1.1895,0.217756
99,10,South Snow Pavilion,18.62,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,1.4436,0.218413
99,10,South Snow Pavilion,18.62,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,1.2683,0.231613
100,10,South Snow Pavilion,18.85,Moon-Hoe Studio,Golden Chestnut Studio,8,13.61,20.19,1.4632,0.156001
100,10,South Snow Pavilion,18.85,Phoenix Paulownia,Moon-Hoe Studio,8,19.38,27.42,1.1895,0.217756
100,10,South Snow Pavilion,18.85,Phoenix Paulownia,Golden Chestnut Studio,8,19.38,27.42,1.4436,0.218413
100,10,South Snow Pavilion,18.85,Phoenix Paulownia,Wall-Facing Pavilion,8,19.38,27.42,1.2683,0.231613
101,10,South Snow Pavilion,19.08,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,1.4632,0.153099
101,10,South Snow Pavilion,19.08,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,1.1895,0.202349
101,10,South Snow Pavilion,19.08,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,1.4436,0.203899
101,10,South Snow Pavilion,19.08,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,1.3094,0.216681
102,10,South Snow Pavilion,19.31,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,1.4632,0.153099
102,10,South Snow Pavilion,19.31,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,1.1895,0.202349
102,10,South Snow Pavilion,19.31,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,1.4436,0.203899
102,10,South Snow Pavilion,19.31,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,1.3094,0.216681
103,10,South Snow Pavilion,19.54,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,1.4632,0.153099
103,10,South Snow Pavilion,19.54,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,1.1895,0.202349
103,10,South Snow Pavilion,19.54,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,1.4436,0.203899
103,10,South Snow Pavilion,19.54,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,1.3094,0.216681
104,10,South Snow Pavilion,19.77,Moon-Hoe Studio,Golden Chestnut Studio,8,13.71,20.32,1.4632,0.153099
104,10,South Snow Pavilion,19.77,Phoenix Paulownia,Moon-Hoe Studio,8,22.64,31.51,1.1895,0.202349
104,10,South Snow Pavilion,19.77,Phoenix Paulownia,Golden Chestnut Studio,8,22.64,31.51,1.4436,0.203899
104,10,South Snow Pavilion,19.77,Phoenix Paulownia,Stone Qin Room,8,22.64,31.51,1.3094,0.216681
151,15,Moon-Hoe Studio,28.0,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0.6103,0.13281
151,15,Moon-Hoe Studio,28.0,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0.6737,0.151024
151,15,Moon-Hoe Studio,28.0,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0.8427,0.172822
151,15,Moon-Hoe Studio,28.0,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0.6608,0.178242
152,15,Moon-Hoe Studio,28.23,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0.6103,0.13281
152,15,Moon-Hoe Studio,28.23,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0.6737,0.151024
152,15,Moon-Hoe Studio,28.23,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0.8427,0.172822
152,15,Moon-Hoe Studio,28.23,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0.6608,0.178242
153,15,Moon-Hoe Studio,28.46,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0.6103,0.13281
153,15,Moon-Hoe Studio,28.46,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0.6737,0.151024
153,15,Moon-Hoe Studio,28.46,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0.8427,0.172822
153,15,Moon-Hoe Studio,28.46,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0.6608,0.178242
154,15,Moon-Hoe Studio,28.69,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0.6103,0.13281
154,15,Moon-Hoe Studio,28.69,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0.6737,0.151024
154,15,Moon-Hoe Studio,28.69,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0.8427,0.172822
154,15,Moon-Hoe Studio,28.69,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0.6608,0.178242
155,15,Moon-Hoe Studio,28.92,Winter Herb Hut,Lotus Depths,12,12.48,18.78,0.6103,0.13281
155,15,Moon-Hoe Studio,28.92,Phoenix Paulownia,Stone Qin Room,6,15.64,22.74,0.6737,0.151024
155,15,Moon-Hoe Studio,28.92,Phoenix Paulownia,Golden Chestnut Studio,6,15.64,22.74,0.8427,0.172822
155,15,Moon-Hoe Studio,28.92,Golden Chestnut Studio,Stone Qin Room,6,19.76,27.9,0.6608,0.178242
156,15,Moon-Hoe Studio,29.15,Golden Chestnut Studio,Stone Qin Room,6,18.49,26.31,0.6608,0.092697
156,15,Moon-Hoe Studio,29.15,Golden Chestnut Studio,Little Canglang Lodge,6,18.49,26.31,0.5381,0.116915
156,15,Moon-Hoe Studio,29.15,Winter Herb Hut,Lotus Depths,12,7.8,12.93,0.6103,0.130473
156,15,Moon-Hoe Studio,29.15,Phoenix Paulownia,Stone Qin Room,6,16.05,23.25,0.6737,0.147592
