scenario,phase,frame,spot,goal,elapsed_min,step1,step2,arrive_min,crowd_lo,crowd_hi,changing_goal
Single destination change,1,52,Paulownia Studio,Garden Tea Lodge,6.56,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Single destination change,1,52,Paulownia Studio,Garden Tea Lodge,6.56,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Single destination change,1,53,Paulownia Studio,Garden Tea Lodge,6.74,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Single destination change,1,53,Paulownia Studio,Garden Tea Lodge,6.74,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Single destination change,1,53,Paulownia Studio,Garden Tea Lodge,6.74,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Single destination change,1,53,Paulownia Studio,Garden Tea Lodge,6.74,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Single destination change,1,54,Paulownia Studio,Garden Tea Lodge,6.93,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Single destination change,1,54,Paulownia Studio,Garden Tea Lodge,6.93,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Single destination change,1,54,Paulownia Studio,Garden Tea Lodge,6.93,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Single destination change,1,54,Paulownia Studio,Garden Tea Lodge,6.93,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Single destination change,1,55,Paulownia Studio,Garden Tea Lodge,7.11,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Single destination change,1,55,Paulownia Studio,Garden Tea Lodge,7.11,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Single destination change,1,55,Paulownia Studio,Garden Tea Lodge,7.11,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Single destination change,1,55,Paulownia Studio,Garden Tea Lodge,7.11,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Single destination change,1,56,Paulownia Studio,Garden Tea Lodge,7.3,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Single destination change,1,56,Paulownia Studio,Garden Tea Lodge,7.3,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Single destination change,1,56,Paulownia Studio,Garden Tea Lodge,7.3,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Single destination change,1,56,Paulownia Studio,Garden Tea Lodge,7.3,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Single destination change,1,57,Paulownia Studio,Garden Tea Lodge,7.48,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Single destination change,1,57,Paulownia Studio,Garden Tea Lodge,7.48,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Single destination change,1,57,Paulownia Studio,Garden Tea Lodge,7.48,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Single destination change,1,57,Paulownia Studio,Garden Tea Lodge,7.48,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Single destination change,1,58,Paulownia Studio,Garden Tea Lodge,7.67,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Single destination change,1,58,Paulownia Studio,Garden Tea Lodge,7.67,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Single destination change,1,58,Paulownia Studio,Garden Tea Lodge,7.67,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Single destination change,1,58,Paulownia Studio,Garden Tea Lodge,7.67,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Single destination change,1,59,Paulownia Studio,Garden Tea Lodge,7.85,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,0
Single destination change,1,59,Paulownia Studio,Garden Tea Lodge,7.85,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0
Single destination change,1,59,Paulownia Studio,Garden Tea Lodge,7.85,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0
Single destination change,1,59,Paulownia Studio,Garden Tea Lodge,7.85,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0
Single destination change,1,60,Paulownia Studio,Garden Tea Lodge,8.04,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Single destination change,1,60,Paulownia Studio,Garden Tea Lodge,8.04,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Single destination change,1,60,Paulownia Studio,Garden Tea Lodge,8.04,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Single destination change,1,60,Paulownia Studio,Garden Tea Lodge,8.04,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Single destination change,1,61,Paulownia Studio,Garden Tea Lodge,8.22,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Single destination change,1,61,Paulownia Studio,Garden Tea Lodge,8.22,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Single destination change,1,61,Paulownia Studio,Garden Tea Lodge,8.22,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Single destination change,1,61,Paulownia Studio,Garden Tea Lodge,8.22,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Single destination change,1,62,Paulownia Studio,Garden Tea Lodge,8.41,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Single destination change,1,62,Paulownia Studio,Garden Tea Lodge,8.41,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Single destination change,1,62,Paulownia Studio,Garden Tea Lodge,8.41,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Single destination change,1,62,Paulownia Studio,Garden Tea Lodge,8.41,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Single destination change,1,63,Paulownia Studio,Garden Tea Lodge,8.59,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Single destination change,1,63,Paulownia Studio,Garden Tea Lodge,8.59,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Single destination change,1,63,Paulownia Studio,Garden Tea Lodge,8.59,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Single destination change,1,63,Paulownia Studio,Garden Tea Lodge,8.59,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Single destination change,1,64,Paulownia Studio,Garden Tea Lodge,8.78,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Single destination change,1,64,Paulownia Studio,Garden Tea Lodge,8.78,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Single destination change,1,64,Paulownia Studio,Garden Tea Lodge,8.78,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Single destination change,1,64,Paulownia Studio,Garden Tea Lodge,8.78,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Single destination change,1,65,Paulownia Studio,Garden Tea Lodge,8.96,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,0
Single destination change,1,65,Paulownia Studio,Garden Tea Lodge,8.96,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0
Single destination change,1,65,Paulownia Studio,Garden Tea Lodge,8.96,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0
Single destination change,1,65,Paulownia Studio,Garden Tea Lodge,8.96,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0
Single destination change,1,66,Paulownia Studio,Garden Tea Lodge,9.15,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Single destination change,1,66,Paulownia Studio,Garden Tea Lodge,9.15,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Single destination change,1,66,Paulownia Studio,Garden Tea Lodge,9.15,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Single destination change,1,66,Paulownia Studio,Garden Tea Lodge,9.15,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Single destination change,1,67,Paulownia Studio,Garden Tea Lodge,9.33,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Single destination change,1,67,Paulownia Studio,Garden Tea Lodge,9.33,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Single destination change,1,67,Paulownia Studio,Garden Tea Lodge,9.33,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Single destination change,1,67,Paulownia Studio,Garden Tea Lodge,9.33,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Single destination change,1,68,Paulownia Studio,Garden Tea Lodge,9.52,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Single destination change,1,68,Paulownia Studio,Garden Tea Lodge,9.52,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Single destination change,1,68,Paulownia Studio,Garden Tea Lodge,9.52,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Single destination change,1,68,Paulownia Studio,Garden Tea Lodge,9.52,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Single destination change,1,69,Paulownia Studio,Garden Tea Lodge,9.7,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Single destination change,1,69,Paulownia Studio,Garden Tea Lodge,9.7,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Single destination change,1,69,Paulownia Studio,Garden Tea Lodge,9.7,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Single destination change,1,69,Paulownia Studio,Garden Tea Lodge,9.7,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Single destination change,1,70,Paulownia Studio,Garden Tea Lodge,9.89,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,0
Single destination change,1,70,Paulownia Studio,Garden Tea Lodge,9.89,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0
Single destination change,1,70,Paulownia Studio,Garden Tea Lodge,9.89,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0
Single destination change,1,70,Paulownia Studio,Garden Tea Lodge,9.89,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,0
Single destination change,1,71,Paulownia Studio,Garden Tea Lodge,10.07,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Single destination change,1,71,Paulownia Studio,Garden Tea Lodge,10.07,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Single destination change,1,71,Paulownia Studio,Garden Tea Lodge,10.07,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Single destination change,1,71,Paulownia Studio,Garden Tea Lodge,10.07,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Single destination change,1,72,Paulownia Studio,Garden Tea Lodge,10.26,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Single destination change,1,72,Paulownia Studio,Garden Tea Lodge,10.26,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Single destination change,1,72,Paulownia Studio,Garden Tea Lodge,10.26,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Single destination change,1,72,Paulownia Studio,Garden Tea Lodge,10.26,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Single destination change,1,73,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Single destination change,1,73,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Single destination change,1,73,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Single destination change,1,73,Paulownia Studio,Garden Tea Lodge,10.44,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Single destination change,1,74,Paulownia Studio,Garden Tea Lodge,10.63,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Single destination change,1,74,Paulownia Studio,Garden Tea Lodge,10.63,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Single destination change,1,74,Paulownia Studio,Garden Tea Lodge,10.63,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Single destination change,1,74,Paulownia Studio,Garden Tea Lodge,10.63,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Single destination change,1,75,Paulownia Studio,Garden Tea Lodge,10.81,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,0
Single destination change,1,75,Paulownia Studio,Garden Tea Lodge,10.81,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0
Single destination change,1,75,Paulownia Studio,Garden Tea Lodge,10.81,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,0
Single destination change,1,75,Paulownia Studio,Garden Tea Lodge,10.81,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0
Single destination change,1,98,South Snow Pavilion,Garden Tea Lodge,14.0,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Single destination change,1,98,South Snow Pavilion,Garden Tea Lodge,14.0,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Single destination change,1,98,South Snow Pavilion,Garden Tea Lodge,14.0,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Single destination change,1,98,South Snow Pavilion,Garden Tea Lodge,14.0,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Single destination change,1,99,South Snow Pavilion,Garden Tea Lodge,14.19,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Single destination change,1,99,South Snow Pavilion,Garden Tea Lodge,14.19,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Single destination change,1,99,South Snow Pavilion,Garden Tea Lodge,14.19,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Single destination change,1,99,South Snow Pavilion,Garden Tea Lodge,14.19,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Single destination change,1,100,South Snow Pavilion,Garden Tea Lodge,14.38,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Single destination change,1,100,South Snow Pavilion,Garden Tea Lodge,14.38,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Single destination change,1,100,South Snow Pavilion,Garden Tea Lodge,14.38,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Single destination change,1,100,South Snow Pavilion,Garden Tea Lodge,14.38,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Single destination change,1,101,South Snow Pavilion,Garden Tea Lodge,14.56,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Single destination change,1,101,South Snow Pavilion,Garden Tea Lodge,14.56,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Single destination change,1,101,South Snow Pavilion,Garden Tea Lodge,14.56,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Single destination change,1,101,South Snow Pavilion,Garden Tea Lodge,14.56,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Single destination change,1,102,South Snow Pavilion,Garden Tea Lodge,14.75,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Single destination change,1,102,South Snow Pavilion,Garden Tea Lodge,14.75,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Single destination change,1,102,South Snow Pavilion,Garden Tea Lodge,14.75,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Single destination change,1,102,South Snow Pavilion,Garden Tea Lodge,14.75,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Single destination change,1,103,South Snow Pavilion,Garden Tea Lodge,14.94,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,0
Single destination change,1,103,South Snow Pavilion,Garden Tea Lodge,14.94,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,0
Single destination change,1,103,South Snow Pavilion,Garden Tea Lodge,14.94,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,0
Single destination change,1,103,South Snow Pavilion,Garden Tea Lodge,14.94,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,0
Single destination change,1,104,South Snow Pavilion,Garden Tea Lodge,15.13,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Single destination change,1,104,South Snow Pavilion,Garden Tea Lodge,15.13,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Single destination change,1,104,South Snow Pavilion,Garden Tea Lodge,15.13,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Single destination change,1,104,South Snow Pavilion,Garden Tea Lodge,15.13,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Single destination change,1,105,South Snow Pavilion,Garden Tea Lodge,15.31,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Single destination change,1,105,South Snow Pavilion,Garden Tea Lodge,15.31,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Single destination change,1,105,South Snow Pavilion,Garden Tea Lodge,15.31,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Single destination change,1,105,South Snow Pavilion,Garden Tea Lodge,15.31,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Single destination change,1,106,South Snow Pavilion,Garden Tea Lodge,15.5,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Single destination change,1,106,South Snow Pavilion,Garden Tea Lodge,15.5,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Single destination change,1,106,South Snow Pavilion,Garden Tea Lodge,15.5,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Single destination change,1,106,South Snow Pavilion,Garden Tea Lodge,15.5,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Single destination change,1,107,South Snow Pavilion,Garden Tea Lodge,15.69,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Single destination change,1,107,South Snow Pavilion,Garden Tea Lodge,15.69,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Single destination change,1,107,South Snow Pavilion,Garden Tea Lodge,15.69,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Single destination change,1,107,South Snow Pavilion,Garden Tea Lodge,15.69,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Single destination change,1,108,South Snow Pavilion,Garden Tea Lodge,15.88,Moon-Hoe Studio,Golden Chestnut Studio,8,16.98,24.42,0
Single destination change,1,108,South Snow Pavilion,Garden Tea Lodge,15.88,Phoenix Paulownia,Golden Chestnut Studio,8,20.84,29.25,0
Single destination change,1,108,South Snow Pavilion,Garden Tea Lodge,15.88,Phoenix Paulownia,Moon-Hoe Studio,8,20.84,29.25,0
Single destination change,1,108,South Snow Pavilion,Garden Tea Lodge,15.88,Phoenix Paulownia,Stone Qin Room,8,20.84,29.25,0
Single destination change,1,109,South Snow Pavilion,Garden Tea Lodge,16.06,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Single destination change,1,109,South Snow Pavilion,Garden Tea Lodge,16.06,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Single destination change,1,109,South Snow Pavilion,Garden Tea Lodge,16.06,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Single destination change,1,109,South Snow Pavilion,Garden Tea Lodge,16.06,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Single destination change,1,110,South Snow Pavilion,Garden Tea Lodge,16.25,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Single destination change,1,110,South Snow Pavilion,Garden Tea Lodge,16.25,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Single destination change,1,110,South Snow Pavilion,Garden Tea Lodge,16.25,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Single destination change,1,110,South Snow Pavilion,Garden Tea Lodge,16.25,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Single destination change,1,111,South Snow Pavilion,Garden Tea Lodge,16.44,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Single destination change,1,111,South Snow Pavilion,Garden Tea Lodge,16.44,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Single destination change,1,111,South Snow Pavilion,Garden Tea Lodge,16.44,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Single destination change,1,111,South Snow Pavilion,Garden Tea Lodge,16.44,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Single destination change,1,112,South Snow Pavilion,Garden Tea Lodge,16.63,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Single destination change,1,112,South Snow Pavilion,Garden Tea Lodge,16.63,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Single destination change,1,112,South Snow Pavilion,Garden Tea Lodge,16.63,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Single destination change,1,112,South Snow Pavilion,Garden Tea Lodge,16.63,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Single destination change,1,113,South Snow Pavilion,Garden Tea Lodge,16.81,Moon-Hoe Studio,Golden Chestnut Studio,8,17.08,24.54,0
Single destination change,1,113,South Snow Pavilion,Garden Tea Lodge,16.81,Phoenix Paulownia,Golden Chestnut Studio,8,17.58,25.16,0
Single destination change,1,113,South Snow Pavilion,Garden Tea Lodge,16.81,Phoenix Paulownia,Moon-Hoe Studio,8,17.58,25.16,0
Single destination change,1,113,South Snow Pavilion,Garden Tea Lodge,16.81,Phoenix Paulownia,Stone Qin Room,8,17.58,25.16,0
Single destination change,1,114,South Snow Pavilion,Garden Tea Lodge,17.0,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Single destination change,1,114,South Snow Pavilion,Garden Tea Lodge,17.0,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Single destination change,1,114,South Snow Pavilion,Garden Tea Lodge,17.0,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
Single destination change,1,114,South Snow Pavilion,Garden Tea Lodge,17.0,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,0
Single destination change,1,115,South Snow Pavilion,Garden Tea Lodge,17.19,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Single destination change,1,115,South Snow Pavilion,Garden Tea Lodge,17.19,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Single destination change,1,115,South Snow Pavilion,Garden Tea Lodge,17.19,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
Single destination change,1,115,South Snow Pavilion,Garden Tea Lodge,17.19,Phoenix Paulownia,Wall-Facing Pavilion,8,17.7,25.32,0
Single destination change,1,116,South Snow Pavilion,Garden Tea Lodge,17.38,Moon-Hoe Studio,Golden Chestnut Studio,8,15.3,22.31,0
Single destination change,1,116,South Snow Pavilion,Garden Tea Lodge,17.38,Phoenix Paulownia,Golden Chestnut Studio,8,17.7,25.32,0
Single destination change,1,116,South Snow Pavilion,Garden Tea Lodge,17.38,Phoenix Paulownia,Moon-Hoe Studio,8,17.7,25.32,0
