排名,当前景点编号,当前景点名称,第一步景点编号,第一步景点名称,第二步景点编号,第二步景点名称,路径长度L,路径耗能C,路径时间T,路径移步异景分Q,参观景点数H,路径未来人数N,路径拥堵代价P,综合代价J,含主线偏好代价JR,与主线路重合度R,第一步到达分钟,第一步估计人数N̂,第一步保守人数N̄,第一步拥堵惩罚P,第二步到达分钟,第二步估计人数N̂,第二步保守人数N̄,第二步拥堵惩罚P,第一段道路序号r,第二段道路序号r,第一段道路移步异景分,第二段道路移步异景分
7,2,玉兰堂,7,面壁亭,3,藕花水榭,976.25,12.07,23.0,0.6969,1,24.067,0.0,0.167637,0.207637,0.2,6,11.966,16.271,0.0,23,3.313,7.796,0.0,1,1,0.7885,0.6171
8,2,玉兰堂,3,藕花水榭,4,月到风来亭,781.3,9.68,14.5,0.5544,1,35.696,0.0,0.201393,0.234726,0.3333,4,19.804,24.287,0.0,15,2.833,11.409,0.0,1,1,0.6202,0.4949
9,2,玉兰堂,6,桐荫斋,11,碧梧栖凤,1035.82,10.93,15.0,1.5258,1,35.047,0.0,0.201255,0.246709,0.0909,5,15.87,20.422,0.0,15,6.699,14.624,0.0,1,1,1.0869,1.8783
10,2,玉兰堂,7,面壁亭,11,碧梧栖凤,958.84,12.59,17.0,0.7622,1,30.52,0.0,0.240666,0.286121,0.0909,6,11.966,16.271,0.0,17,6.323,14.249,0.0,1,1,0.7885,0.7384
11,2,玉兰堂,3,藕花水榭,7,面壁亭,892.61,10.95,21.5,0.6184,1,35.02,0.0,0.248503,0.288503,0.2,4,19.804,24.287,0.0,22,6.427,10.732,0.0,1,1,0.6202,0.6171
12,2,玉兰堂,3,藕花水榭,8,锁绿轩,939.41,12.53,15.5,0.9873,1,34.56,0.0,0.25725,0.29725,0.2,4,19.804,24.287,0.0,16,4.264,10.273,0.0,1,1,0.6202,1.227
13,2,玉兰堂,7,面壁亭,12,石听琴室,1315.21,16.23,26.0,0.8332,1,30.089,0.0,0.414141,0.459595,0.0909,6,11.966,16.271,0.0,26,4.626,13.818,0.0,1,2,0.7885,0.8568
1,3,藕花水榭,7,面壁亭,6,桐荫斋,901.04,9.49,23.0,0.8975,1,26.319,0.0,0.07429,0.119745,0.0909,10,6.841,11.147,0.0,23,10.62,15.172,0.0,1,1,0.6171,1.2827
2,3,藕花水榭,4,月到风来亭,5,金粟亭,774.79,8.19,11.5,0.7118,1,30.502,0.313,0.100831,0.134165,0.3333,3,13.128,21.705,0.313,12,2.479,8.798,0.0,1,1,0.4949,0.9558
3,3,藕花水榭,4,月到风来亭,8,锁绿轩,784.28,9.75,12.5,1.2449,1,32.24,0.313,0.097322,0.137322,0.2,3,13.128,21.705,0.313,13,4.527,10.535,0.0,1,1,0.4949,2.067
4,3,藕花水榭,7,面壁亭,8,锁绿轩,972.62,11.48,21.0,0.9439,1,21.604,0.0,0.097986,0.14344,0.0909,10,6.841,11.147,0.0,21,4.449,10.458,0.0,1,1,0.6171,1.3215
5,3,藕花水榭,7,面壁亭,2,玉兰堂,976.25,12.07,23.0,0.6969,1,25.639,0.0,0.169875,0.209875,0.2,10,6.841,11.147,0.0,23,9.866,14.492,0.0,1,1,0.6171,0.7885
6,3,藕花水榭,2,玉兰堂,1,正门石坊,822.93,10.82,16.0,0.7644,1,32.273,0.269,0.177905,0.211239,0.3333,4,23.792,28.418,0.269,16,2.508,3.855,0.0,1,1,0.6202,0.8829
7,3,藕花水榭,7,面壁亭,11,碧梧栖凤,1025.41,11.6,21.0,0.6767,1,25.897,0.0,0.17522,0.220674,0.0909,10,6.841,11.147,0.0,21,6.825,14.75,0.0,1,1,0.6171,0.7384
8,3,藕花水榭,4,月到风来亭,9,湛露堂,963.49,10.57,18.5,0.666,1,35.628,0.313,0.248586,0.288586,0.2,3,13.128,21.705,0.313,19,4.302,13.923,0.0,1,1,0.4949,0.7928
9,3,藕花水榭,2,玉兰堂,6,桐荫斋,832.63,10.45,15.0,0.8789,1,43.853,0.269,0.248772,0.288772,0.2,4,23.792,28.418,0.269,15,10.883,15.435,0.0,1,1,0.6202,1.0869
10,3,藕花水榭,2,玉兰堂,7,面壁亭,826.04,11.94,16.0,0.7129,1,39.334,0.269,0.264922,0.304922,0.2,4,23.792,28.418,0.269,16,6.61,10.916,0.0,1,1,0.6202,0.7885
11,3,藕花水榭,7,面壁亭,12,石听琴室,1381.78,15.24,30.0,0.7663,1,24.473,0.0,0.330031,0.375486,0.0909,10,6.841,11.147,0.0,30,4.134,13.326,0.0,1,2,0.6171,0.8568
12,3,藕花水榭,8,锁绿轩,4,月到风来亭,942.39,12.6,16.0,1.5606,1,43.598,2.295,0.493636,0.533636,0.2,4,26.138,32.146,2.295,16,2.875,11.452,0.0,1,1,1.227,2.067
13,3,藕花水榭,8,锁绿轩,7,面壁亭,1019.42,13.06,16.0,1.2689,1,43.062,2.295,0.550351,0.595806,0.0909,4,26.138,32.146,2.295,16,6.61,10.916,0.0,1,1,1.227,1.3215
14,3,藕花水榭,8,锁绿轩,12,石听琴室,1006.33,11.82,15.0,1.1146,1,45.688,2.295,0.554269,0.599724,0.0909,4,26.138,32.146,2.295,15,4.35,13.542,0.0,1,1,1.227,0.9688
15,3,藕花水榭,8,锁绿轩,9,湛露堂,1035.1,13.19,16.0,1.3217,1,44.987,2.295,0.566622,0.612077,0.0909,4,26.138,32.146,2.295,16,3.22,12.84,0.0,1,1,1.227,1.4368
16,3,藕花水榭,8,锁绿轩,13,坡仙琴馆,1227.14,14.88,17.0,1.2141,1,43.591,2.295,0.655198,0.700652,0.0909,4,26.138,32.146,2.295,17,4.83,11.445,0.0,1,1,1.227,1.2029
1,4,月到风来亭,5,金粟亭,9,湛露堂,792.51,8.82,17.5,0.8051,1,35.489,0.0,0.079109,0.119109,0.2,3,16.163,22.481,0.0,17,3.387,13.007,0.0,1,1,0.9558,0.6767
2,4,月到风来亭,9,湛露堂,13,坡仙琴馆,902.59,10.13,25.0,0.6533,1,27.964,0.0,0.132047,0.177501,0.0909,10,7.18,16.801,0.0,25,4.548,11.163,0.0,1,1,0.7928,0.432
3,4,月到风来亭,9,湛露堂,5,金粟亭,981.21,11.2,27.0,0.7422,1,25.161,0.0,0.182182,0.222182,0.2,10,7.18,16.801,0.0,27,2.041,8.36,0.0,1,1,0.7928,0.6767
4,4,月到风来亭,9,湛露堂,14,拜石轩,954.23,10.88,24.0,0.6682,1,31.549,0.0,0.219317,0.259317,0.2,10,7.18,16.801,0.0,24,3.393,14.748,0.0,1,1,0.7928,0.4961
5,4,月到风来亭,9,湛露堂,8,锁绿轩,1020.28,12.37,23.0,1.0875,1,27.435,0.0,0.239893,0.285347,0.0909,10,7.18,16.801,0.0,23,4.625,10.634,0.0,1,1,0.7928,1.4368
6,4,月到风来亭,5,金粟亭,14,拜石轩,1063.42,11.06,16.5,0.7451,1,37.133,0.0,0.329228,0.362561,0.3333,3,16.163,22.481,0.0,16,3.297,14.652,0.0,1,1,0.9558,0.6351
7,4,月到风来亭,3,藕花水榭,2,玉兰堂,781.3,9.68,14.5,0.5544,1,42.474,1.259,0.338212,0.371546,0.3333,3,23.609,28.092,1.259,15,9.756,14.382,0.0,1,1,0.4949,0.6202
8,4,月到风来亭,3,藕花水榭,7,面壁亭,931.51,9.81,20.5,0.5633,1,38.835,1.259,0.390506,0.430506,0.2,3,23.609,28.092,1.259,21,6.438,10.743,0.0,1,1,0.4949,0.6171
9,4,月到风来亭,3,藕花水榭,8,锁绿轩,978.31,11.39,14.5,0.9201,1,38.412,1.259,0.442508,0.482508,0.2,3,23.609,28.092,1.259,15,4.312,10.32,0.0,1,1,0.4949,1.227
10,4,月到风来亭,8,锁绿轩,12,石听琴室,812.3,10.18,15.0,1.4747,1,45.688,2.295,0.451198,0.496653,0.0909,4,26.138,32.146,2.295,15,4.35,13.542,0.0,1,1,2.067,0.9688
11,4,月到风来亭,8,锁绿轩,7,面壁亭,825.39,11.42,16.0,1.6595,1,43.062,2.295,0.466232,0.511687,0.0909,4,26.138,32.146,2.295,16,6.61,10.916,0.0,1,1,2.067,1.3215
12,4,月到风来亭,8,锁绿轩,9,湛露堂,841.07,11.55,16.0,1.7172,1,44.987,2.295,0.492307,0.537762,0.0909,4,26.138,32.146,2.295,16,3.22,12.84,0.0,1,1,2.067,1.4368
13,4,月到风来亭,8,锁绿轩,3,藕花水榭,942.39,12.6,16.0,1.5606,1,39.894,2.295,0.553106,0.593106,0.2,4,26.138,32.146,2.295,16,3.264,7.747,0.0,1,1,2.067,1.227
14,4,月到风来亭,8,锁绿轩,13,坡仙琴馆,1033.11,13.24,17.0,1.5159,1,43.591,2.295,0.66315,0.708605,0.0909,4,26.138,32.146,2.295,17,4.83,11.445,0.0,1,1,2.067,1.2029
1,5,金粟亭,9,湛露堂,13,坡仙琴馆,777.02,8.73,23.0,0.5667,1,34.349,0.0,0.117479,0.162933,0.0909,8,13.325,22.945,0.0,23,4.789,11.404,0.0,1,1,0.6767,0.432
2,5,金粟亭,9,湛露堂,8,锁绿轩,894.71,10.97,21.0,1.0733,1,33.403,0.0,0.118725,0.16418,0.0909,8,13.325,22.945,0.0,21,4.449,10.458,0.0,1,1,0.6767,1.4368
3,5,金粟亭,9,湛露堂,4,月到风来亭,981.21,11.2,27.0,0.7422,1,33.882,0.0,0.182661,0.222661,0.2,8,13.325,22.945,0.0,27,2.36,10.937,0.0,1,1,0.6767,0.7928
4,5,金粟亭,9,湛露堂,14,拜石轩,828.66,9.48,22.0,0.5893,1,37.618,0.0,0.209635,0.249635,0.2,8,13.325,22.945,0.0,22,3.318,14.672,0.0,1,1,0.6767,0.4961
5,5,金粟亭,4,月到风来亭,3,藕花水榭,774.79,8.19,11.5,0.7118,1,29.635,0.313,0.264591,0.297925,0.3333,3,13.128,21.705,0.313,12,3.447,7.931,0.0,1,1,0.9558,0.4949
6,5,金粟亭,4,月到风来亭,8,锁绿轩,738.87,9.4,12.5,1.5185,1,32.24,0.313,0.259116,0.299116,0.2,3,13.128,21.705,0.313,13,4.527,10.535,0.0,1,1,0.9558,2.067
7,5,金粟亭,14,拜石轩,18,螺髻亭,1259.95,14.43,22.5,0.7076,1,32.298,0.0,0.275855,0.309188,0.3333,7,13.742,25.096,0.0,23,3.482,7.202,0.0,1,1,0.6351,0.7979
8,5,金粟亭,14,拜石轩,13,坡仙琴馆,1143.13,13.39,20.5,0.6259,1,36.43,0.0,0.325657,0.365657,0.2,7,13.742,25.096,0.0,21,4.719,11.334,0.0,1,1,0.6351,0.6114
9,5,金粟亭,14,拜石轩,9,湛露堂,1099.57,11.72,21.5,0.5844,1,38.514,0.0,0.328533,0.368533,0.2,7,13.742,25.096,0.0,22,3.797,13.417,0.0,1,1,0.6351,0.4961
10,5,金粟亭,14,拜石轩,21,碧梧台,1554.56,15.77,23.5,0.9335,1,35.886,0.0,0.412846,0.446179,0.3333,7,13.742,25.096,0.0,24,4.775,10.79,0.0,1,1,0.6351,1.1772
11,5,金粟亭,4,月到风来亭,9,湛露堂,918.08,10.22,18.5,0.8576,1,35.628,0.313,0.446683,0.486683,0.2,3,13.128,21.705,0.313,19,4.302,13.923,0.0,1,1,0.9558,0.7928
1,6,桐荫斋,7,面壁亭,8,锁绿轩,830.84,9.89,17.0,1.3038,1,26.383,0.0,0.056898,0.106898,0.0,6,11.966,16.271,0.0,17,4.103,10.112,0.0,1,1,1.2827,1.3215
2,6,桐荫斋,7,面壁亭,3,藕花水榭,901.04,9.49,23.0,0.8975,1,24.067,0.0,0.083334,0.128788,0.0909,6,11.966,16.271,0.0,23,3.313,7.796,0.0,1,1,1.2827,0.6171
3,6,桐荫斋,1,正门石坊,2,玉兰堂,982.8,11.85,15.5,1.2146,1,18.006,0.0,0.118754,0.158754,0.2,6,2.368,3.716,0.0,16,9.664,14.29,0.0,1,1,1.4967,0.8829
4,6,桐荫斋,2,玉兰堂,1,正门石坊,913.16,10.45,17.0,0.986,1,26.921,0.0,0.14555,0.18555,0.2,5,18.586,23.212,0.0,17,2.361,3.709,0.0,1,1,1.0869,0.8829
5,6,桐荫斋,7,面壁亭,2,玉兰堂,834.47,10.48,19.0,1.0133,1,30.854,0.0,0.153167,0.198622,0.0909,6,11.966,16.271,0.0,19,9.957,14.583,0.0,1,1,1.2827,0.7885
6,6,桐荫斋,7,面壁亭,11,碧梧栖凤,883.63,10.01,17.0,0.9722,1,30.52,0.0,0.153324,0.203324,0.0,6,11.966,16.271,0.0,17,6.323,14.249,0.0,1,1,1.2827,0.7384
7,6,桐荫斋,2,玉兰堂,3,藕花水榭,832.63,10.45,15.0,0.8789,1,31.165,0.0,0.167173,0.207173,0.2,5,18.586,23.212,0.0,15,3.47,7.953,0.0,1,1,1.0869,0.6202
8,6,桐荫斋,10,南雪亭,15,锄月轩,915.82,12.92,16.5,1.5733,1,30.146,0.0,0.220515,0.270515,0.0,3,13.597,20.38,0.0,17,3.812,9.766,0.0,1,1,0.7889,2.1346
9,6,桐荫斋,10,南雪亭,11,碧梧栖凤,846.99,12.26,16.5,1.3674,1,34.629,0.0,0.231869,0.281869,0.0,3,13.597,20.38,0.0,17,6.323,14.249,0.0,1,1,0.7889,1.8427
10,6,桐荫斋,11,碧梧栖凤,10,南雪亭,1039.36,12.46,19.0,1.8624,1,33.46,0.0,0.252653,0.302653,0.0,5,15.596,23.521,0.0,19,3.155,9.938,0.0,1,1,1.8783,1.8427
11,6,桐荫斋,2,玉兰堂,7,面壁亭,916.27,11.57,17.0,0.9388,1,34.154,0.0,0.266423,0.311877,0.0909,5,18.586,23.212,0.0,17,6.636,10.942,0.0,1,1,1.0869,0.7885
12,6,桐荫斋,11,碧梧栖凤,15,锄月轩,1069.56,11.13,17.0,1.2754,1,33.287,0.0,0.265183,0.315183,0.0,5,15.596,23.521,0.0,17,3.812,9.766,0.0,1,1,1.8783,0.5761
13,6,桐荫斋,11,碧梧栖凤,16,金栗斋,1102.86,11.82,18.0,1.5017,1,34.706,0.0,0.29731,0.34731,0.0,5,15.596,23.521,0.0,18,3.894,11.184,0.0,1,1,1.8783,1.0924
14,6,桐荫斋,11,碧梧栖凤,7,面壁亭,1078.39,11.95,15.0,1.3456,1,34.114,0.0,0.302586,0.352586,0.0,5,15.596,23.521,0.0,15,6.287,10.592,0.0,1,1,1.8783,0.7384
15,6,桐荫斋,11,碧梧栖凤,12,石听琴室,1040.53,11.97,15.0,1.3851,1,37.063,0.0,0.314245,0.364245,0.0,5,15.596,23.521,0.0,15,4.35,13.542,0.0,1,1,1.8783,0.7773
16,6,桐荫斋,7,面壁亭,12,石听琴室,1240.0,13.65,26.0,0.9872,1,30.089,0.0,0.425767,0.475767,0.0,6,11.966,16.271,0.0,26,4.626,13.818,0.0,1,2,1.2827,0.8568
1,7,面壁亭,6,桐荫斋,1,正门石坊,910.7,10.39,17.0,1.4075,1,20.198,0.0,0.010876,0.05633,0.0909,6,11.937,16.489,0.0,17,2.361,3.709,0.0,1,1,1.2827,1.4967
2,7,面壁亭,6,桐荫斋,10,南雪亭,761.65,9.64,14.0,1.035,1,26.463,0.0,0.027899,0.077899,0.0,6,11.937,16.489,0.0,14,3.19,9.973,0.0,1,1,1.2827,0.7889
3,7,面壁亭,6,桐荫斋,2,玉兰堂,841.06,8.99,16.0,1.1753,1,30.779,0.0,0.051393,0.096848,0.0909,6,11.937,16.489,0.0,16,9.664,14.29,0.0,1,1,1.2827,1.0869
4,7,面壁亭,3,藕花水榭,4,月到风来亭,931.51,9.81,20.5,0.5633,1,19.55,0.0,0.070485,0.110485,0.2,10,3.733,8.216,0.0,21,2.757,11.333,0.0,1,1,0.6171,0.4949
5,7,面壁亭,6,桐荫斋,11,碧梧栖凤,954.02,9.84,16.0,1.6413,1,30.816,0.0,0.062568,0.112568,0.0,6,11.937,16.489,0.0,16,6.402,14.327,0.0,1,1,1.2827,1.8783
6,7,面壁亭,3,藕花水榭,2,玉兰堂,892.61,10.95,21.5,0.6184,1,22.76,0.0,0.104941,0.144941,0.2,10,3.733,8.216,0.0,22,9.918,14.544,0.0,1,1,0.6171,0.6202
7,7,面壁亭,2,玉兰堂,1,正门石坊,906.57,11.94,18.0,0.8355,1,22.548,0.0,0.112463,0.152463,0.2,6,14.317,18.943,0.0,18,2.258,3.605,0.0,1,1,0.7885,0.8829
8,7,面壁亭,2,玉兰堂,3,藕花水榭,826.04,11.94,16.0,0.7129,1,26.69,0.0,0.129914,0.169914,0.2,6,14.317,18.943,0.0,16,3.264,7.747,0.0,1,1,0.7885,0.6202
9,7,面壁亭,3,藕花水榭,8,锁绿轩,1089.62,12.66,21.5,0.9352,1,18.831,0.0,0.144889,0.190344,0.0909,10,3.733,8.216,0.0,22,4.606,10.615,0.0,1,1,0.6171,1.227
10,7,面壁亭,2,玉兰堂,6,桐荫斋,916.27,11.57,17.0,0.9388,1,34.504,0.0,0.179888,0.225342,0.0909,6,14.317,18.943,0.0,17,11.009,15.562,0.0,1,1,0.7885,1.0869
11,7,面壁亭,11,碧梧栖凤,10,南雪亭,968.97,12.63,18.0,1.2683,1,38.755,0.308,0.257213,0.307213,0.0,4,20.617,28.543,0.308,18,3.429,10.212,0.0,1,1,0.7384,1.8427
12,7,面壁亭,11,碧梧栖凤,15,锄月轩,999.17,11.3,16.0,0.658,1,38.07,0.308,0.280944,0.330944,0.0,4,20.617,28.543,0.308,16,3.573,9.527,0.0,1,1,0.7384,0.5761
13,7,面壁亭,12,石听琴室,8,锁绿轩,1298.49,14.4,23.5,0.8946,1,23.809,0.0,0.280967,0.330967,0.0,13,4.162,13.354,0.0,24,4.446,10.455,0.0,2,1,0.8568,0.9688
14,7,面壁亭,11,碧梧栖凤,16,金栗斋,1032.47,11.99,17.0,0.9196,1,39.587,0.308,0.294567,0.344567,0.0,4,20.617,28.543,0.308,17,3.754,11.044,0.0,1,1,0.7384,1.0924
15,7,面壁亭,12,石听琴室,13,坡仙琴馆,1303.32,14.29,24.5,0.7672,1,24.517,0.0,0.295442,0.345442,0.0,13,4.162,13.354,0.0,25,4.548,11.163,0.0,2,1,0.8568,0.5932
16,7,面壁亭,11,碧梧栖凤,6,桐荫斋,1078.39,11.95,15.0,1.3456,1,43.978,0.308,0.299744,0.349744,0.0,4,20.617,28.543,0.308,15,10.883,15.435,0.0,1,1,0.7384,1.8783
17,7,面壁亭,12,石听琴室,16,金栗斋,1293.84,15.12,25.5,0.8433,1,24.979,0.0,0.309559,0.359559,0.0,13,4.162,13.354,0.0,26,4.335,11.625,0.0,2,1,0.8568,0.8166
18,7,面壁亭,11,碧梧栖凤,12,石听琴室,970.14,12.14,14.0,0.7571,1,41.895,0.308,0.311291,0.361291,0.0,4,20.617,28.543,0.308,14,4.161,13.352,0.0,1,1,0.7384,0.7773
19,7,面壁亭,12,石听琴室,17,小沧浪馆,1317.59,15.89,24.5,0.7052,1,22.353,0.0,0.32823,0.37823,0.0,13,4.162,13.354,0.0,25,3.515,8.998,0.0,2,1,0.8568,0.4199
20,7,面壁亭,12,石听琴室,11,碧梧栖凤,1326.51,15.78,24.5,0.8289,1,28.151,0.0,0.357417,0.407417,0.0,13,4.162,13.354,0.0,25,6.871,14.796,0.0,2,1,0.8568,0.7773
21,7,面壁亭,8,锁绿轩,4,月到风来亭,825.39,11.42,16.0,1.6595,1,43.598,2.295,0.424986,0.470441,0.0909,4,26.138,32.146,2.295,16,2.875,11.452,0.0,1,1,1.3215,2.067
22,7,面壁亭,8,锁绿轩,12,石听琴室,889.33,10.64,15.0,1.1477,1,45.688,2.295,0.481769,0.531769,0.0,4,26.138,32.146,2.295,15,4.35,13.542,0.0,1,1,1.3215,0.9688
23,7,面壁亭,8,锁绿轩,9,湛露堂,918.1,12.01,16.0,1.3801,1,44.987,2.295,0.497751,0.547751,0.0,4,26.138,32.146,2.295,16,3.22,12.84,0.0,1,1,1.3215,1.4368
24,7,面壁亭,8,锁绿轩,3,藕花水榭,1019.42,13.06,16.0,1.2689,1,39.894,2.295,0.524723,0.570178,0.0909,4,26.138,32.146,2.295,16,3.264,7.747,0.0,1,1,1.3215,1.227
25,7,面壁亭,8,锁绿轩,13,坡仙琴馆,1110.14,13.7,17.0,1.2511,1,43.591,2.295,0.591654,0.641654,0.0,4,26.138,32.146,2.295,17,4.83,11.445,0.0,1,1,1.3215,1.2029
1,8,锁绿轩,4,月到风来亭,5,金粟亭,738.87,9.4,12.5,1.5185,1,26.451,0.0,-0.07703,-0.03703,0.2,4,9.06,17.637,0.0,13,2.496,8.814,0.0,1,1,2.067,0.9558
2,8,锁绿轩,4,月到风来亭,3,藕花水榭,784.28,9.75,12.5,1.2449,1,25.674,0.0,-0.02991,0.01009,0.2,4,9.06,17.637,0.0,13,3.554,8.038,0.0,1,1,2.067,0.4949
3,8,锁绿轩,7,面壁亭,6,桐荫斋,830.84,9.89,17.0,1.3038,1,40.479,0.053,0.079333,0.129333,0.0,4,20.612,24.917,0.053,17,11.009,15.562,0.0,1,1,1.3215,1.2827
4,8,锁绿轩,4,月到风来亭,9,湛露堂,927.57,11.78,19.5,1.3069,1,31.679,0.0,0.093979,0.139433,0.0909,4,9.06,17.637,0.0,20,4.422,14.042,0.0,1,1,2.067,0.7928
5,8,锁绿轩,7,面壁亭,3,藕花水榭,972.62,11.48,21.0,0.9439,1,32.901,0.053,0.149391,0.194845,0.0909,4,20.612,24.917,0.053,21,3.5,7.984,0.0,1,1,1.3215,0.6171
6,8,锁绿轩,13,坡仙琴馆,9,湛露堂,1008.13,11.59,19.5,0.9359,1,30.762,0.0,0.146404,0.196404,0.0,5,10.224,16.839,0.0,19,4.302,13.923,0.0,1,1,1.2029,0.432
7,8,锁绿轩,3,藕花水榭,4,月到风来亭,978.31,11.39,14.5,0.9201,1,35.696,0.0,0.167623,0.207623,0.2,4,19.804,24.287,0.0,15,2.833,11.409,0.0,1,1,1.227,0.4949
8,8,锁绿轩,13,坡仙琴馆,18,螺髻亭,1122.08,14.12,18.5,1.0692,1,24.303,0.0,0.185171,0.230626,0.0909,5,10.224,16.839,0.0,18,3.743,7.464,0.0,1,1,1.2029,0.879
9,8,锁绿轩,7,面壁亭,2,玉兰堂,906.05,12.47,17.0,1.0539,1,39.185,0.053,0.186673,0.232128,0.0909,4,20.612,24.917,0.053,17,9.641,14.267,0.0,1,1,1.3215,0.7885
10,8,锁绿轩,3,藕花水榭,2,玉兰堂,939.41,12.53,15.5,0.9873,1,38.577,0.0,0.198566,0.238566,0.2,4,19.804,24.287,0.0,16,9.664,14.29,0.0,1,1,1.227,0.6202
11,8,锁绿轩,13,坡仙琴馆,12,石听琴室,1101.88,12.35,17.5,0.9578,1,30.973,0.0,0.19013,0.24013,0.0,5,10.224,16.839,0.0,17,4.942,14.134,0.0,1,1,1.2029,0.5932
12,8,锁绿轩,7,面壁亭,11,碧梧栖凤,955.21,12.0,15.0,1.0139,1,39.542,0.053,0.194319,0.244319,0.0,4,20.612,24.917,0.053,15,6.699,14.624,0.0,1,1,1.3215,0.7384
13,8,锁绿轩,3,藕花水榭,7,面壁亭,1089.62,12.66,21.5,0.9352,1,35.02,0.0,0.224285,0.26974,0.0909,4,19.804,24.287,0.0,22,6.427,10.732,0.0,1,1,1.227,0.6171
14,8,锁绿轩,13,坡仙琴馆,17,小沧浪馆,1151.64,14.29,21.5,0.9537,1,26.266,0.0,0.223538,0.273538,0.0,5,10.224,16.839,0.0,21,3.943,9.427,0.0,1,1,1.2029,0.6204
15,8,锁绿轩,13,坡仙琴馆,14,拜石轩,1103.33,14.01,17.5,0.9647,1,31.592,0.0,0.237307,0.282761,0.0909,5,10.224,16.839,0.0,17,3.398,14.753,0.0,1,1,1.2029,0.6114
16,8,锁绿轩,9,湛露堂,13,坡仙琴馆,816.09,9.9,19.0,1.0069,1,48.83,4.775,0.351433,0.401433,0.0,4,27.831,37.452,4.775,19,4.764,11.379,0.0,1,1,1.4368,0.432
17,8,锁绿轩,9,湛露堂,5,金粟亭,894.71,10.97,21.0,1.0733,1,45.857,4.775,0.373171,0.418626,0.0909,4,27.831,37.452,4.775,21,2.086,8.405,0.0,1,1,1.4368,0.6767
18,8,锁绿轩,7,面壁亭,12,石听琴室,1311.58,15.64,24.0,1.0167,1,38.816,0.053,0.379228,0.429228,0.0,4,20.612,24.917,0.053,24,4.707,13.898,0.0,1,2,1.3215,0.8568
