排名,当前景点编号,当前景点名称,相邻景点编号,相邻景点名称,道路序号r,路径长度L,路径耗能C,通行时间τ,道路移步异景分Q,路径移步异景分Q,综合代价J,含主线偏好代价JR,到达所需分钟,到达时估计人数N̂,到达时保守人数N̄,到达时拥堵惩罚P
1,6,桐荫斋,7,面壁亭,1,379.63,3.95,6,1.2827,1.2827,0.074967,0.124967,6,11.966,16.271,0.0
2,6,桐荫斋,1,正门石坊,1,531.07,6.44,6,1.4967,1.4967,0.223503,0.268503,6,2.368,3.716,0.0
3,6,桐荫斋,10,南雪亭,1,382.02,5.69,3,0.7889,0.7889,0.274223,0.324223,3,13.597,20.38,0.0
4,6,桐荫斋,2,玉兰堂,1,461.43,5.04,5,1.0869,1.0869,0.293615,0.338615,5,18.586,23.212,0.0
5,6,桐荫斋,11,碧梧栖凤,1,574.39,5.89,5,1.8783,1.8783,0.373182,0.423182,5,15.596,23.521,0.0
1,7,面壁亭,6,桐荫斋,1,379.63,3.95,6,1.2827,1.2827,-0.024766,0.025234,6,11.937,16.489,0.0
2,7,面壁亭,3,藕花水榭,1,521.41,5.54,10,0.6171,0.6171,0.090868,0.135868,10,3.733,8.216,0.0
3,7,面壁亭,2,玉兰堂,1,454.84,6.53,6,0.7885,0.7885,0.158712,0.203712,6,14.317,18.943,0.0
4,7,面壁亭,11,碧梧栖凤,1,504.0,6.06,4,0.7384,0.7384,0.278287,0.328287,4,20.617,28.543,0.308
5,7,面壁亭,12,石听琴室,2,860.37,9.7,13,0.8568,0.8568,0.326298,0.376298,13,4.162,13.354,0.0
6,7,面壁亭,8,锁绿轩,1,451.21,5.94,4,1.3215,1.3215,0.443896,0.493896,4,26.138,32.146,2.295
1,8,锁绿轩,4,月到风来亭,1,374.18,5.48,4,2.067,2.067,-0.044521,0.000479,4,9.06,17.637,0.0
2,8,锁绿轩,7,面壁亭,1,451.21,5.94,4,1.3215,1.3215,0.153137,0.203137,4,20.612,24.917,0.053
3,8,锁绿轩,3,藕花水榭,1,568.21,7.12,4,1.227,1.227,0.280136,0.325136,4,19.804,24.287,0.0
4,8,锁绿轩,13,坡仙琴馆,1,658.93,7.76,5,1.2029,1.2029,0.29843,0.34843,5,10.224,16.839,0.0
5,8,锁绿轩,9,湛露堂,1,466.89,6.07,4,1.4368,1.4368,0.458464,0.508464,4,27.831,37.452,4.775
6,8,锁绿轩,12,石听琴室,1,438.12,4.7,3,0.9688,0.9688,0.48525,0.53525,3,27.517,36.709,6.877
1,9,湛露堂,13,坡仙琴馆,1,349.2,3.83,6,0.432,0.432,0.050561,0.100561,6,8.761,15.376,0.0
2,9,湛露堂,5,金粟亭,1,427.82,4.9,8,0.6767,0.6767,0.107729,0.152729,8,2.671,8.99,0.0
3,9,湛露堂,4,月到风来亭,1,553.39,6.3,10,0.7928,0.7928,0.303445,0.348445,10,2.781,11.358,0.0
4,9,湛露堂,14,拜石轩,1,400.84,4.58,5,0.4961,0.4961,0.479865,0.524865,5,21.069,32.424,1.781
5,9,湛露堂,8,锁绿轩,1,466.89,6.07,4,1.4368,1.4368,0.600022,0.650022,4,26.138,32.146,2.295
1,10,南雪亭,11,碧梧栖凤,1,464.97,6.57,8,1.8427,1.8427,0.141584,0.191584,8,7.557,15.483,0.0
2,10,南雪亭,15,锄月轩,1,533.8,7.23,8,2.1346,2.1346,0.224386,0.274386,8,4.239,10.193,0.0
3,10,南雪亭,6,桐荫斋,1,382.02,5.69,3,0.7889,0.7889,0.457773,0.507773,3,32.114,36.667,4.203
1,11,碧梧栖凤,15,锄月轩,1,495.17,5.24,6,0.5761,0.5761,0.049253,0.099253,6,5.212,11.167,0.0
2,11,碧梧栖凤,10,南雪亭,1,464.97,6.57,8,1.8427,1.8427,0.074817,0.124817,8,3.48,10.263,0.0
3,11,碧梧栖凤,16,金栗斋,1,528.47,5.93,7,1.0924,1.0924,0.164526,0.214526,7,6.363,13.654,0.0
4,11,碧梧栖凤,6,桐荫斋,1,574.39,5.89,5,1.8783,1.8783,0.220965,0.270965,5,15.87,20.422,0.0
5,11,碧梧栖凤,7,面壁亭,1,504.0,6.06,4,0.7384,0.7384,0.266486,0.316486,4,20.612,24.917,0.053
6,11,碧梧栖凤,12,石听琴室,1,466.14,6.08,4,0.7773,0.7773,0.549918,0.599918,4,24.164,33.356,3.921
1,12,石听琴室,16,金栗斋,1,433.47,5.42,5,0.8166,0.8166,0.018755,0.068755,5,11.439,18.73,0.0
2,12,石听琴室,13,坡仙琴馆,1,442.95,4.59,4,0.5932,0.5932,0.028066,0.078066,4,11.36,17.975,0.0
3,12,石听琴室,11,碧梧栖凤,1,466.14,6.08,4,0.7773,0.7773,0.14428,0.19428,4,20.617,28.543,0.308
4,12,石听琴室,7,面壁亭,2,860.37,9.7,13,0.8568,0.8568,0.243585,0.293585,13,5.997,10.302,0.0
5,12,石听琴室,8,锁绿轩,1,438.12,4.7,3,0.9688,0.9688,0.368911,0.418911,3,30.468,36.477,5.199
6,12,石听琴室,17,小沧浪馆,1,457.22,6.19,4,0.4199,0.4199,0.373361,0.423361,4,24.222,29.705,3.347
1,13,坡仙琴馆,18,螺髻亭,1,463.15,6.36,5,0.879,0.879,0.108734,0.153734,5,9.845,13.565,0.0
2,13,坡仙琴馆,17,小沧浪馆,1,492.71,6.53,8,0.6204,0.6204,0.161777,0.211777,8,8.054,13.537,0.0
3,13,坡仙琴馆,9,湛露堂,1,349.2,3.83,6,0.432,0.432,0.187629,0.237629,6,20.287,29.907,0.762
4,13,坡仙琴馆,8,锁绿轩,1,658.93,7.76,5,1.2029,1.2029,0.365699,0.415699,5,21.582,27.59,0.37
5,13,坡仙琴馆,12,石听琴室,1,442.95,4.59,4,0.5932,0.5932,0.493876,0.543876,4,24.164,33.356,3.921
6,13,坡仙琴馆,14,拜石轩,1,444.4,6.25,4,0.6114,0.6114,0.577088,0.622088,4,24.729,36.084,3.806
1,14,拜石轩,18,螺髻亭,1,561.22,7.29,6,0.7979,0.7979,0.124409,0.163298,6,6.936,10.657,0.0
2,14,拜石轩,13,坡仙琴馆,1,444.4,6.25,4,0.6114,0.6114,0.127058,0.172058,4,11.36,17.975,0.0
3,14,拜石轩,5,金粟亭,1,698.73,7.14,7,0.6351,0.6351,0.185557,0.224446,7,4.193,10.511,0.0
4,14,拜石轩,21,碧梧台,1,855.83,8.63,7,1.1772,1.1772,0.243879,0.282768,7,6.928,12.943,0.0
5,14,拜石轩,9,湛露堂,1,400.84,4.58,5,0.4961,0.4961,0.457773,0.502773,5,24.037,33.658,2.383
1,15,锄月轩,16,金栗斋,1,362.58,5.45,6,0.4746,0.4746,0.133305,0.183305,6,8.561,15.852,0.0
2,15,锄月轩,10,南雪亭,1,533.8,7.23,8,2.1346,2.1346,0.16517,0.21517,8,3.48,10.263,0.0
3,15,锄月轩,11,碧梧栖凤,1,495.17,5.24,6,0.5761,0.5761,0.256726,0.306726,6,11.244,19.169,0.0
4,15,锄月轩,19,岁寒草庐,1,624.77,7.31,12,0.5805,0.5805,0.313819,0.363819,12,4.375,10.327,0.0
1,16,金栗斋,15,锄月轩,1,362.58,5.45,6,0.4746,0.4746,0.004159,0.054159,6,5.212,11.167,0.0
2,16,金栗斋,17,小沧浪馆,1,441.77,5.76,8,0.5902,0.5902,0.101958,0.151958,8,8.054,13.537,0.0
3,16,金栗斋,11,碧梧栖凤,1,528.47,5.93,7,1.0924,1.0924,0.131768,0.181768,7,8.552,16.478,0.0
4,16,金栗斋,19,岁寒草庐,2,609.29,6.62,7,0.794,0.794,0.298119,0.348119,7,8.055,14.007,0.0
5,16,金栗斋,12,石听琴室,1,433.47,5.42,5,0.8166,0.8166,0.44941,0.49941,5,20.613,29.805,1.769
1,17,小沧浪馆,16,金栗斋,1,441.77,5.76,8,0.5902,0.5902,-0.026321,0.023679,8,4.994,12.285,0.0
2,17,小沧浪馆,18,螺髻亭,1,491.85,5.74,4,0.9449,0.9449,0.097407,0.142407,4,13.327,17.047,0.0
3,17,小沧浪馆,13,坡仙琴馆,1,492.71,6.53,8,0.6204,0.6204,0.286783,0.336783,8,6.152,12.767,0.0
4,17,小沧浪馆,20,藕香深处,1,489.7,5.89,5,0.8057,0.8057,0.315796,0.365796,5,20.356,28.148,1.016
5,17,小沧浪馆,12,石听琴室,1,457.22,6.19,4,0.4199,0.4199,0.598672,0.648672,4,24.164,33.356,3.921
1,18,螺髻亭,21,碧梧台,1,283.91,3.94,3,0.9846,0.9846,-0.005028,0.033861,3,14.966,20.98,0.0
2,18,螺髻亭,13,坡仙琴馆,1,463.15,6.36,5,0.879,0.879,0.190393,0.235393,5,10.224,16.839,0.0
3,18,螺髻亭,20,藕香深处,1,496.67,6.53,5,1.0692,1.0692,0.39694,0.44194,5,20.356,28.148,1.016
4,18,螺髻亭,14,拜石轩,1,561.22,7.29,6,0.7979,0.7979,0.519771,0.55866,6,17.376,28.73,0.367
5,18,螺髻亭,17,小沧浪馆,1,491.85,5.74,4,0.9449,0.9449,0.610256,0.655256,4,24.222,29.705,3.347
1,19,岁寒草庐,16,金栗斋,2,609.29,6.62,7,0.794,0.794,0.108584,0.158584,7,6.363,13.654,0.0
2,19,岁寒草庐,15,锄月轩,1,624.77,7.31,12,0.5805,0.5805,0.119968,0.169968,12,4.11,10.064,0.0
3,19,岁寒草庐,22,园门茶寮,1,1196.31,12.43,17,1.5305,1.5305,0.224386,0.269386,17,2.48,6.595,0.0
4,19,岁寒草庐,20,藕香深处,1,424.49,4.89,4,0.6541,0.6541,0.450483,0.500483,4,22.559,30.351,2.048
1,20,藕香深处,21,碧梧台,1,466.94,4.8,4,1.044,1.044,0.059037,0.104037,4,13.138,19.152,0.0
2,20,藕香深处,18,螺髻亭,1,496.67,6.53,5,1.0692,1.0692,0.06698,0.11198,5,9.845,13.565,0.0
3,20,藕香深处,19,岁寒草庐,1,424.49,4.89,4,0.6541,0.6541,0.176792,0.226792,4,18.097,24.049,0.0
4,20,藕香深处,22,园门茶寮,1,851.28,9.7,11,1.1093,1.1093,0.224386,0.269386,11,2.654,6.768,0.0
5,20,藕香深处,17,小沧浪馆,1,489.7,5.89,5,0.8057,0.8057,0.486673,0.536673,5,19.739,25.223,0.805
1,21,碧梧台,18,螺髻亭,1,283.91,3.94,3,0.9846,0.9846,0.074304,0.113192,3,17.063,20.783,0.0
2,21,碧梧台,22,园门茶寮,1,393.7,5.64,7,0.8603,0.8603,0.089502,0.128391,7,2.356,6.47,0.0
3,21,碧梧台,14,拜石轩,1,855.83,8.63,7,1.1772,1.1772,0.369102,0.407991,7,13.742,25.096,0.0
4,21,碧梧台,20,藕香深处,1,466.94,4.8,4,1.044,1.044,0.482421,0.527421,4,22.559,30.351,2.048
1,22,园门茶寮,21,碧梧台,1,393.7,5.64,7,0.8603,0.8603,0.108836,0.147725,7,6.928,12.943,0.0
2,22,园门茶寮,19,岁寒草庐,1,1196.31,12.43,17,1.5305,1.5305,0.224386,0.269386,17,4.472,10.424,0.0
3,22,园门茶寮,20,藕香深处,1,851.28,9.7,11,1.1093,1.1093,0.336785,0.381785,11,6.926,14.718,0.0
